# V4.1 prompt-batch flow model: every constant ds41_prefill.py reads, one per row.
# kind: measured (a recorded run), derived (arithmetic on recorded numbers or code), assumed (no record; in the uncalibrated table).
# anchor: the backtest row a value was taken from; that row is not scored against it.
name	value	lo	hi	unit	kind	conditions	source	anchor	note
gu_row_share	0.606	0.606	0.606	fraction	derived	gate/up's share of an expert's thread time (0.836 us x 4,608 rows of 199 us x 32 threads at m 7.61)	docs uniondispatch report A1/A4 (agent transcript), commit 9626c7f message		
smalltail_us	7.5	5	10	us/chunk	derived	the chunk flow's pre-pass and stash dispatches' own tails (0.2-0.4 ms / 40)	docs uniondispatch report A1/A4 (agent transcript), commit 9626c7f message		
stash_gbs	70	44	120	GB/s	derived	the chunk flow's stash copy (48.2 MB in 0.4-1.1 ms, pool)	docs uniondispatch report A1/A4 (agent transcript), commit 9626c7f message		
zfill_chunk_bytes	600000	600000	600000	B/chunk	derived	the chunk flow's set_cols growth on the calling thread: 1.56 columns x 385 KB a chunk (24.0 MB / 40)	docs uniondispatch report A1/A4 (agent transcript), commit 9626c7f message		
zfill_gbs	20	10	30	GB/s	derived	a serial memset on the calling thread	docs uniondispatch report A1/A4 (agent transcript), commit 9626c7f message		
scan_gbs	21	19	23.3	GB/s	derived	the chunk flow's serial non-finite scan of x (10.5 MB in 0.45-0.55 ms)	docs/research/hostserve-report.md; docs uniondispatch report A1/A4 (agent transcript), commit 9626c7f message		
scan_pool_ms	0.04	0	0.08	ms at T 512	derived	the five-dispatch flow's non-finite pool pass	docs uniondispatch report A1/A4 (agent transcript), commit 9626c7f message		
prep_us	4.4	2.5	6.25	us/chunk	derived	chunk preparation on the calling thread less the blocks' resolves (0.1-0.25 ms / 40)	docs uniondispatch report A1/A4 (agent transcript), commit 9626c7f message		
t6_gbs	250	127	509	GB/s	derived	the five-dispatch flow's combine re-reads the gate/up slab and writes qc (21.1 KB a slot; 0.1-0.4 ms at 2,413 slots)	docs uniondispatch report A1/A4 (agent transcript), commit 9626c7f message		
ud_delta_512	10.34	9.87	10.81	ms/layer-batch	measured	A6000 300 W, plan (a), no hot list, lcg, CED on, 3 rounds in one lease, main af929ae (chunk flow) and 9626c7f (five dispatches), P 512: union chunk flow - five dispatches, per round 10.14, 10.51, 10.37 (95 % t(2))	rig-log log/2026-09-26.md#uniondispatch-ab; bloomery-ee scratch wave-m6/ud-sit/depth.log	UD.ratio512	fixes f, the join-tail share of a steal block (the round's prior 0.1-0.5)
src_gemv_pair	33.81	33.81	33.81	us/chunk	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]), layer 2: the gated compressor's two q3k_gemv (kv and gate)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		an ungated source (20) runs one of the two
anchor_union_ud512	66.73	66.73	66.73	ms/layer-batch	measured	union, P 512 CED on lcg, no hot list, main 9626c7f (five dispatches), 3 rounds 66.83, 67.17, 66.20	rig-log log/2026-09-26.md#uniondispatch-ab; bloomery-ee scratch wave-m6/ud-sit/depth.log	UD.new512.union	the band's structural alternative for X_u: today's code, measured only without the hot list
